date,open,high,low,close,volume
2001-01-02,2077.076,2103.538,2074.882,2103.469,18650746.0
2001-01-03,2108.254,2123.9,2105.497,2123.899,17157673.0
2001-01-04,2125.485,2127.419,2113.179,2117.405,13423541.0
2001-01-05,2117.664,2125.381,2114.056,2125.3,13288175.0
2001-01-08,2128.602,2131.98,2092.097,2102.064,14787085.0
2001-01-09,2099.323,2111.1,2082.841,2101.135,11649338.0
2001-01-10,2102.085,2125.67,2102.066,2125.615,12916883.0
2001-01-11,2129.61,2131.368,2117.029,2119.141,14072209.0
2001-01-12,2116.846,2117.727,2100.273,2104.747,10660882.0
2001-01-15,2097.091,2097.092,2030.288,2032.443,14998588.0
2001-01-16,2018.298,2045.946,2007.706,2045.887,11583722.0
2001-01-17,2046.377,2048.695,2031.756,2034.584,7324134.0
2001-01-18,2033.686,2049.355,2033.576,2043.11,10341571.0
2001-01-19,2046.581,2067.877,2046.541,2065.606,11831264.0
2001-02-05,2069.856,2072.547,2005.683,2008.032,8974243.0
2001-02-06,1999.723,1999.725,1956.178,1995.315,9528427.0
2001-02-07,1995.603,1998.25,1978.599,1979.939,5882229.0
2001-02-08,1977.559,1986.898,1926.4,1930.138,8885737.0
2001-02-09,1935.188,1963.329,1935.188,1956.97,11237019.0
2001-02-12,1958.655,1961.81,1935.587,1961.221,7203075.0
2001-02-13,1962.527,1973.999,1958.991,1963.528,5403514.0
2001-02-14,1962.738,1966.84,1956.423,1963.2,4382153.0
2001-02-15,1963.449,1966.923,1944.56,1946.479,4506756.0
2001-02-16,1942.049,1942.123,1911.871,1941.964,6750209.0
2001-02-19,1942.579,1969.347,1935.651,1967.55,5846083.0
2001-02-20,1969.777,1980.386,1947.255,1953.218,6435934.0
2001-02-21,1948.417,1948.417,1901.205,1909.326,7617817.0
2001-02-22,1901.993,1922.457,1893.783,1907.26,5054734.0
2001-02-23,1906.914,1936.634,1906.551,1936.346,6209740.0
2001-02-26,1940.77,1953.771,1935.547,1953.341,7302811.0
2001-02-27,1956.272,1962.284,1946.98,1962.042,7398593.0
2001-02-28,1964.356,1965.021,1950.931,1959.18,6141354.0
2001-03-01,1959.009,1968.357,1953.721,1965.121,11667369.0
2001-03-02,1969.056,1987.389,1968.961,1985.111,15163577.0
2001-03-05,1991.28,1993.805,1979.654,1984.2,10719359.0
2001-03-06,1986.732,1990.06,1977.111,1990.06,20872239.0
2001-03-07,1991.276,1996.853,1986.044,1991.177,13890054.0
2001-03-08,1990.637,2002.252,1989.869,2000.9,11490403.0
2001-03-09,2003.205,2015.503,1999.478,2011.66,15681034.0
2001-03-12,2013.312,2015.597,2004.964,2012.552,12333489.0
