,high,close,open,low
2010-01-04,3.785771,3.731087,3.729685,3.694632
2010-01-05,3.917572,3.90355,3.731087,3.731087
2010-01-06,3.937202,3.844661,3.89654,3.841856
2010-01-07,3.869899,3.717066,3.850269,3.670795
2010-01-08,3.750717,3.742304,3.652568,3.632938
2010-01-11,3.928789,3.928789,3.782966,3.71987
2010-01-12,4.125088,4.070405,3.920376,3.892333
2010-01-13,4.252682,4.193793,3.990483,3.987679
2010-01-14,4.402711,4.328398,4.175565,4.160141
2010-01-15,4.41533,4.255487,4.346626,4.234455
2010-01-18,4.468612,4.468612,4.276519,4.2639
2010-01-19,4.556946,4.467209,4.49385,4.402711
2010-01-20,4.458797,4.338213,4.458797,4.2639
2010-01-21,4.441971,4.336811,4.332604,4.29054
2010-01-22,4.346626,4.266704,4.269508,4.119479
2010-01-25,4.317181,4.210618,4.221835,4.206412
2010-01-26,4.262497,4.042362,4.227444,4.035351
2010-01-27,4.199401,4.050775,4.052177,3.987679
2010-01-28,4.16575,4.162946,4.059188,3.897942
2010-01-29,4.31017,4.237259,4.108262,4.066198
2010-02-01,4.277921,4.275117,4.266704,4.164348
2010-02-02,4.374668,4.186782,4.248476,4.168554
2010-02-03,4.210618,4.028341,4.210618,3.977864
2010-02-04,4.136305,4.109664,4.042362,3.983472
2010-02-05,4.122284,4.045166,4.063394,3.968049
2010-02-08,4.101252,4.069002,4.059188,3.956832
2010-02-09,4.153131,4.073209,4.069002,4.04797
2010-02-10,4.134903,4.129294,4.129294,4.049373
2010-02-11,4.161544,4.097045,4.133501,4.094241
2010-02-12,4.189586,4.168554,4.097045,4.069002
2010-02-22,4.164348,4.059188,4.164348,4.054981
2010-02-23,4.105458,4.083024,4.049373,4.0017
2010-02-24,4.287736,4.287736,4.039558,4.039558
2010-02-25,4.440569,4.402711,4.360647,4.287736
2010-02-26,4.458797,4.404113,4.399907,4.346626
2010-03-01,4.38869,4.353636,4.374668,4.325594
2010-03-02,4.458797,4.3298,4.353636,4.29054
2010-03-03,4.399907,4.343821,4.3298,4.291942
2010-03-04,4.399907,4.268106,4.343821,4.248476
2010-03-05,4.318583,4.216227,4.241465,4.207814
