,high,close,open,low
2010-01-04,4.464511,4.418722,4.433985,4.403458
2010-01-05,4.441616,4.426353,4.418722,4.334773
2010-01-06,4.479775,4.380563,4.418722,4.372932
2010-01-07,4.41109,4.258457,4.372932,4.235562
2010-01-08,4.296615,4.27372,4.258457,4.220299
2010-01-11,4.426353,4.304247,4.380563,4.288984
2010-01-12,4.563723,4.517933,4.304247,4.296615
2010-01-13,4.487406,4.395827,4.433985,4.357668
2010-01-14,4.540828,4.533196,4.403458,4.388195
2010-01-15,4.578986,4.533196,4.571354,4.495038
2010-01-18,4.594249,4.571354,4.563723,4.464511
2010-01-19,4.594249,4.517933,4.571354,4.472143
2010-01-20,4.739251,4.586618,4.571354,4.517933
2010-01-21,4.678197,4.563723,4.609513,4.50267
2010-01-22,4.517933,4.441616,4.510301,4.3653
2010-01-25,4.45688,4.380563,4.41109,4.372932
2010-01-26,4.41109,4.235562,4.380563,4.197404
2010-01-27,4.288984,4.220299,4.235562,4.205035
2010-01-28,4.258457,4.243194,4.22793,4.197404
2010-01-29,4.288984,4.197404,4.22793,4.159246
2010-02-01,4.212667,4.090561,4.197404,4.052403
2010-02-02,4.174509,4.090561,4.121087,4.082929
2010-02-03,4.205035,4.205035,4.098192,4.082929
2010-02-04,4.22793,4.197404,4.182141,4.159246
2010-02-05,4.197404,4.128719,4.121087,4.082929
2010-02-08,4.151614,4.113456,4.136351,4.090561
2010-02-09,4.22793,4.166877,4.121087,4.098192
2010-02-10,4.197404,4.166877,4.189772,4.136351
2010-02-11,4.182141,4.151614,4.182141,4.136351
2010-02-12,4.182141,4.182141,4.182141,4.151614
2010-02-22,4.220299,4.197404,4.189772,4.143982
2010-02-23,4.243194,4.235562,4.205035,4.174509
2010-02-24,4.27372,4.266089,4.22793,4.197404
2010-02-25,4.288984,4.281352,4.27372,4.22793
2010-02-26,4.281352,4.243194,4.27372,4.22793
2010-03-01,4.258457,4.250825,4.220299,4.212667
2010-03-02,4.27372,4.243194,4.250825,4.22793
2010-03-03,4.296615,4.288984,4.243194,4.212667
2010-03-04,4.464511,4.311879,4.296615,4.266089
2010-03-05,4.50267,4.45688,4.31951,4.27372
2010-03-08,4.449248,4.418722,4.449248,4.357668
2010-03-09,4.41109,4.372932,4.388195,4.327142
2010-03-10,4.41109,4.296615,4.380563,4.258457
2010-03-11,4.327142,4.288984,4.311879,4.243194
2010-03-12,4.296615,4.205035,4.288984,4.197404
2010-03-15,4.250825,4.197404,4.197404,4.182141
2010-03-16,4.22793,4.220299,4.197404,4.174509
2010-03-17,4.304247,4.296615,4.235562,4.212667
2010-03-18,4.342405,4.288984,4.296615,4.258457
2010-03-19,4.311879,4.304247,4.288984,4.250825
2010-03-22,4.334773,4.304247,4.31951,4.288984
2010-03-23,4.327142,4.243194,4.311879,4.243194
2010-03-24,4.27372,4.22793,4.250825,4.220299
2010-03-25,4.22793,4.174509,4.220299,4.166877
2010-03-26,4.27372,4.250825,4.197404,4.182141
2010-03-29,4.31951,4.304247,4.258457,4.243194
2010-03-30,4.31951,4.304247,4.304247,4.27372
2010-03-31,4.31951,4.266089,4.311879,4.258457
2010-04-01,4.288984,4.281352,4.266089,4.235562
2010-04-02,4.342405,4.311879,4.288984,4.27372
2010-04-06,4.350037,4.311879,4.334773,4.296615
2010-04-07,4.327142,4.288984,4.31951,4.27372
2010-04-08,4.288984,4.235562,4.281352,4.220299
2010-04-09,4.27372,4.266089,4.22793,4.220299
2010-04-12,4.266089,4.220299,4.266089,4.205035
2010-04-13,4.27372,4.266089,4.220299,4.212667
2010-04-14,4.266089,4.243194,4.266089,4.212667
2010-04-15,4.258457,4.212667,4.250825,4.205035
2010-04-16,4.250825,4.212667,4.212667,4.212667
2010-04-19,4.205035,4.021876,4.205035,3.983718
2010-04-20,4.044771,3.983718,4.021876,3.953191
2010-04-21,4.044771,4.037139,3.991349,3.953191
2010-04-22,4.044771,3.968455,4.029508,3.960823
2010-04-23,3.991349,3.94556,3.968455,3.937928
2010-04-26,3.998981,3.922665,3.930296,3.907401
2010-04-27,3.937928,3.846348,3.930296,3.800558
2010-04-28,3.831085,3.792927,3.823453,3.7624
2010-04-29,3.85398,3.800558,3.80819,3.792927
2010-04-30,3.85398,3.85398,3.800558,3.792927
2010-05-04,3.884506,3.823453,3.823453,3.80819
2010-05-05,3.869243,3.846348,3.800558,3.785295
2010-05-06,3.85398,3.701347,3.838717,3.693715
2010-05-07,3.693715,3.586872,3.693715,3.548714
2010-05-10,3.693715,3.586872,3.693715,3.548714
2010-05-11,3.693715,3.548714,3.678452,3.533451
2010-05-12,3.586872,3.541083,3.510556,3.472398
2010-05-13,3.609767,3.594504,3.533451,3.502924
2010-05-14,3.602136,3.571609,3.579241,3.533451
2010-05-17,3.571609,3.373186,3.548714,3.357923
2010-05-18,3.418976,3.38845,3.357923,3.327397
2010-05-19,3.426608,3.380818,3.38845,3.335028
2010-05-20,3.441871,3.350291,3.357923,3.34266
2010-05-21,3.327397,3.304502,3.29687,3.20529
2010-05-24,3.441871,3.43424,3.327397,3.312133
2010-05-25,3.533451,3.464766,3.472398,3.43424
2010-05-26,3.464766,3.426608,3.426608,3.396081
2010-05-27,3.472398,3.449503,3.418976,3.357923
2010-05-28,3.487661,3.43424,3.464766,3.418976
2010-05-31,3.472398,3.357923,3.411345,3.34266
2010-06-01,3.418976,3.365555,3.327397,3.304502
2010-06-02,3.411345,3.357923,3.357923,3.29687
2010-06-03,3.380818,3.312133,3.373186,3.304502
2010-06-04,3.335028,3.304502,3.304502,3.258712
2010-06-07,3.266343,3.220553,3.258712,3.20529
2010-06-08,3.25108,3.167132,3.220553,3.136605
2010-06-09,3.25108,3.220553,3.174764,3.136605
2010-06-10,3.243448,3.212922,3.20529,3.197659
2010-06-11,3.258712,3.228185,3.220553,3.212922
2010-06-17,3.258712,3.228185,3.243448,3.212922
2010-06-18,3.220553,3.136605,3.220553,3.128974
2010-06-21,3.228185,3.220553,3.151869,3.128974
2010-06-22,3.243448,3.235817,3.20529,3.190027
2010-06-23,3.228185,3.174764,3.212922,3.151869
2010-06-24,3.220553,3.182395,3.190027,3.1595
2010-06-25,3.228185,3.220553,3.182395,3.182395
2010-06-28,3.281607,3.197659,3.243448,3.190027
2010-06-29,3.25108,3.090816,3.20529,3.022131
2010-06-30,3.182395,2.907656,3.075552,2.87713
2010-07-01,2.983973,2.961078,2.915288,2.884761
2010-07-02,2.984516,2.976703,2.961078,2.898575
2010-07-05,2.976703,2.906388,2.96889,2.85951
2010-07-06,2.976703,2.96889,2.9142,2.906388
2010-07-07,2.992329,2.961078,2.976703,2.937639
2010-07-08,3.062645,3.031393,2.984516,2.96889
2010-07-09,3.101709,3.078271,3.023581,2.976703
2010-07-12,3.109522,3.078271,3.078271,3.047019
2010-07-13,3.070458,3.015768,3.070458,3.007955
2010-07-14,3.078271,3.054832,3.015768,3.015768
2010-07-15,3.078271,2.984516,3.047019,2.984516
2010-07-16,2.984516,2.976703,2.976703,2.937639
2010-07-19,3.047019,3.039206,2.961078,2.945452
2010-07-20,3.109522,3.101709,3.054832,3.039206
2010-07-21,3.218902,3.179838,3.109522,3.086084
2010-07-22,3.187651,3.187651,3.164212,3.140774
2010-07-23,3.211089,3.164212,3.203277,3.132961
