,high,close,open,low
2010-01-04,,,,
2010-01-05,,,,
2010-01-06,,,,
2010-01-07,,,,
2010-01-08,,,,
2010-01-11,,,,
2010-01-12,,,,
2010-01-13,,,,
2010-01-14,,,,
2010-01-15,,,,
2010-01-18,,,,
2010-01-19,,,,
2010-01-20,,,,
2010-01-21,,,,
2010-01-22,,,,
2010-01-25,,,,
2010-01-26,,,,
2010-01-27,,,,
2010-01-28,,,,
2010-01-29,,,,
2010-02-01,,,,
2010-02-02,,,,
2010-02-03,,,,
2010-02-04,,,,
2010-02-05,,,,
2010-02-08,,,,
2010-02-09,,,,
2010-02-10,,,,
2010-02-11,,,,
2010-02-12,,,,
2010-02-22,,,,
2010-02-23,,,,
2010-02-24,,,,
2010-02-25,,,,
2010-02-26,,,,
2010-03-01,,,,
2010-03-02,,,,
2010-03-03,,,,
2010-03-04,,,,
2010-03-05,,,,
2010-03-08,,,,
2010-03-09,,,,
2010-03-10,,,,
2010-03-11,,,,
2010-03-12,,,,
2010-03-15,,,,
2010-03-16,,,,
2010-03-17,,,,
2010-03-18,,,,
2010-03-19,,,,
2010-03-22,,,,
2010-03-23,,,,
2010-03-24,,,,
2010-03-25,,,,
2010-03-26,,,,
2010-03-29,,,,
2010-03-30,,,,
2010-03-31,,,,
2010-04-01,,,,
2010-04-02,,,,
2010-04-06,,,,
2010-04-07,,,,
2010-04-08,,,,
2010-04-09,6.164711,6.093933,6.066633,5.672302
2010-04-12,6.70363,6.70363,6.381087,6.357832
2010-04-13,7.072684,6.903829,6.975617,6.561064
2010-04-14,6.843163,6.587353,6.708686,6.472087
2010-04-15,6.771374,6.117189,6.622742,5.936201
2010-04-16,6.023156,5.822957,5.95339,5.675336
2010-04-19,5.984734,5.879579,5.783524,5.692524
2010-04-20,6.016078,5.924068,5.814868,5.682413
2010-04-21,6.084833,6.016078,5.864412,5.712747
2010-04-22,6.248632,5.975634,5.965523,5.918001
2010-04-23,6.117189,5.955412,5.93519,5.864412
2010-04-26,6.354799,6.208188,6.003945,5.902834
2010-04-27,6.218299,5.629836,6.147522,5.587369
2010-04-28,5.45997,5.071706,5.45997,5.070694
2010-04-29,5.235505,4.95644,5.133383,4.945317
2010-04-30,4.984751,4.75523,4.914984,4.550986
2010-05-04,4.944306,4.812863,4.716808,4.681419
2010-05-05,5.154616,5.124283,4.757252,4.757252
2010-05-06,5.197083,5.025195,5.055528,5.004973
2010-05-07,5.206183,5.059572,4.924084,4.894762
2010-05-10,5.085861,4.559075,4.960484,4.559075
2010-05-11,4.701641,4.205188,4.687485,4.174855
2010-05-12,4.266866,4.123289,4.144522,3.993867
2010-05-13,4.204177,4.181933,4.140477,3.872534
2010-05-14,4.262821,4.205188,4.054533,4.052511
2010-05-17,4.155644,3.784568,4.145533,3.784568
2010-05-18,4.155644,3.784568,4.145533,3.784568
2010-05-19,4.023189,3.900845,3.84119,3.821979
2010-05-20,3.959489,3.741091,3.842201,3.72188
2010-05-21,3.873545,3.857368,3.559092,3.559092
2010-05-24,4.074755,4.058578,3.873545,3.848268
2010-05-25,4.100033,3.998923,3.984767,3.975667
2010-05-26,4.063633,3.87759,4.022178,3.860401
2010-05-27,4.094978,4.0788,3.872534,3.741091
2010-05-28,4.181933,4.094978,4.126322,4.052511
2010-05-31,4.140477,3.893768,4.044422,3.892756
2010-06-01,3.873545,3.752213,3.847257,3.646047
2010-06-02,3.860401,3.85029,3.781535,3.63998
2010-06-03,4.0424,3.907923,3.900845,3.863434
2010-06-04,3.928145,3.915001,3.852312,3.792657
2010-06-07,4.054533,4.053522,3.826024,3.791646
2010-06-08,4.206199,4.197099,4.043411,4.006
2010-06-09,4.295177,4.185977,4.246643,4.160699
2010-06-10,4.326521,4.26181,4.185977,4.161711
2010-06-11,4.317421,4.219344,4.292143,4.17991
2010-06-17,4.276977,4.014089,4.246643,4.003978
2010-06-18,3.993867,3.752213,3.993867,3.725924
2010-06-21,3.912979,3.867479,3.746146,3.746146
2010-06-22,3.912979,3.867479,3.746146,3.746146
2010-06-23,3.91399,3.821979,3.857368,3.76839
2010-06-24,3.880623,3.821979,3.860401,3.77749
2010-06-25,3.85939,3.84119,3.791646,3.753224
2010-06-28,3.930167,3.784568,3.862423,3.761313
2010-06-29,3.781535,3.406415,3.760302,3.406415
2010-06-30,3.377093,3.267893,3.377093,3.176894
2010-07-01,3.335637,3.300249,3.25576,3.235538
2010-07-02,3.416526,3.345748,3.294182,3.13645
2010-07-05,3.336648,3.28306,3.296204,3.184983
2010-07-06,3.354848,3.345748,3.270927,3.209249
2010-07-07,3.397315,3.397315,3.360915,3.275982
2010-07-08,3.437759,3.314404,3.437759,3.291149
2010-07-09,3.646047,3.646047,3.235538,3.139483
2010-07-12,3.668291,3.604591,3.569203,3.526736
2010-07-13,3.720869,3.644025,3.53887,3.50247
2010-07-14,3.767379,3.635936,3.640991,3.600547
2010-07-15,3.680424,3.468092,3.605602,3.468092
2010-07-16,3.450903,3.407426,3.437759,3.314404
2010-07-19,3.481237,3.477192,3.318449,3.317437
2010-07-20,3.599536,3.579314,3.478203,3.45697
2010-07-21,3.631891,3.564147,3.579314,3.543925
2010-07-22,3.655147,3.650091,3.569203,3.492359
2010-07-23,3.827035,3.771424,3.63088,3.611669
2010-07-26,3.855346,3.794679,3.801757,3.69458
2010-07-27,3.789624,3.711769,3.771424,3.710757
2010-07-28,3.794679,3.774457,3.680424,3.680424
2010-07-29,3.790635,3.743113,3.771424,3.681435
2010-07-30,3.802768,3.760302,3.736035,3.708735
2010-08-02,3.862423,3.837146,3.747157,3.747157
2010-08-03,4.017122,3.802768,3.863434,3.802768
2010-08-04,3.892756,3.891745,3.783557,3.737046
2010-08-05,4.012067,3.944323,3.911967,3.893768
2010-08-06,4.150588,4.120255,3.983756,3.943312
2010-08-09,4.266866,4.155644,4.17991,4.117222
2010-08-10,4.186126,3.962595,4.177997,3.942274
2010-08-11,4.027622,4.010349,3.921953,3.877246
2010-08-12,4.094681,4.013397,3.942274,3.908744
2010-08-13,4.063183,4.013397,3.995108,3.908744
2010-08-16,4.092649,4.076392,4.023558,3.962595
2010-08-17,4.11297,4.033718,4.060135,4.003237
2010-08-18,4.11297,4.019493,4.013397,3.998156
2010-08-19,4.047943,3.961579,4.012381,3.925001
2010-08-20,3.95853,3.789866,3.95853,3.769545
2010-08-23,3.821364,3.759385,3.777673,3.734999
2010-08-24,3.856925,3.801043,3.759385,3.759385
2010-08-25,3.810187,3.640507,3.78377,3.638475
2010-08-26,3.810187,3.640507,3.78377,3.638475
2010-08-27,3.759385,3.747192,3.652699,3.652699
2010-08-30,4.122114,4.122114,3.797994,3.765481
2010-08-31,4.283666,4.167837,4.187142,4.07436
2010-09-01,4.264361,4.067248,4.173933,3.994092
