,high,close,open,low
2015-01-05,6.77,6.7,6.25,6.22
2015-01-06,6.97,6.57,6.77,6.46
2015-01-07,6.74,6.58,6.48,6.4
2015-01-08,6.58,6.17,6.54,6.15
2015-01-09,6.35,6.09,6.11,6.05
2015-01-12,6.02,5.72,6.0,5.63
2015-01-13,5.81,5.74,5.66,5.65
2015-01-14,5.79,5.59,5.75,5.5
2015-01-15,5.83,5.82,5.6,5.48
2015-01-16,5.98,5.84,5.88,5.76
2015-01-19,5.69,5.26,5.56,5.26
2015-01-20,5.39,5.35,5.27,5.17
2015-01-21,5.62,5.61,5.36,5.33
2015-01-22,6.09,5.88,5.61,5.6
2015-01-23,5.98,5.79,5.86,5.76
2015-01-26,5.95,5.93,5.76,5.72
2015-01-27,6.07,5.86,5.96,5.72
2015-01-28,5.83,5.7,5.79,5.68
2015-01-29,5.78,5.65,5.65,5.6
2015-01-30,5.77,5.53,5.68,5.48
2015-02-02,5.25,5.14,5.04,5.0
2015-02-03,5.25,5.22,5.16,5.11
2015-02-04,5.38,5.19,5.27,5.18
2015-02-05,5.38,5.09,5.3,5.08
2015-02-06,5.08,4.89,5.06,4.82
2015-02-09,5.0,4.94,4.86,4.73
2015-02-10,5.0,4.99,4.91,4.91
2015-02-11,5.1,5.04,5.03,4.98
2015-02-12,5.1,5.08,5.04,4.98
2015-02-13,5.24,5.14,5.06,5.06
2015-02-16,5.2,5.17,5.15,5.14
2015-02-17,5.25,5.24,5.2,5.17
2015-02-25,5.25,5.16,5.24,5.11
2015-02-26,5.42,5.4,5.16,5.1
2015-02-27,5.44,5.41,5.4,5.34
2015-03-02,5.7,5.62,5.48,5.42
2015-03-03,5.89,5.68,5.6,5.45
2015-03-04,5.76,5.64,5.63,5.6
2015-03-05,5.63,5.49,5.6,5.41
2015-03-06,6.04,6.04,5.48,5.45
2015-03-09,6.35,6.24,6.04,5.94
2015-03-10,6.28,6.15,6.1,6.08
2015-03-11,6.26,5.98,6.12,5.88
2015-03-12,6.23,6.02,6.0,5.97
2015-03-13,6.14,6.04,6.04,5.9
2015-03-16,6.14,6.13,6.03,5.95
2015-03-17,6.35,6.28,6.13,6.09
2015-03-18,6.5,6.38,6.28,6.23
2015-03-19,6.74,6.46,6.39,6.3
2015-03-20,6.48,6.34,6.4,6.22
2015-03-23,6.63,6.56,6.41,6.34
2015-03-24,6.66,6.48,6.58,6.32
2015-03-25,6.45,6.27,6.45,6.22
2015-03-26,6.53,6.36,6.16,6.09
2015-03-27,6.44,6.3,6.38,6.26
2015-03-30,6.58,6.53,6.32,6.28
2015-03-31,6.6,6.31,6.55,6.28
2015-04-01,6.42,6.37,6.3,6.25
2015-04-02,6.55,6.53,6.4,6.32
2015-04-03,6.64,6.59,6.47,6.44
2015-04-07,7.12,7.08,6.67,6.63
2015-04-08,7.18,7.07,7.14,6.82
2015-04-09,7.16,6.92,7.16,6.7
2015-04-10,7.1,7.0,6.88,6.83
2015-04-13,7.14,7.13,7.0,6.91
2015-04-14,7.14,7.0,7.08,6.95
2015-04-15,7.5,7.17,7.0,6.93
2015-04-16,7.53,7.4,7.1,7.04
2015-04-17,8.14,8.02,7.47,7.4
2015-04-20,8.77,8.38,8.05,7.84
2015-04-21,8.35,8.28,8.2,7.91
2015-04-22,8.95,8.68,8.3,8.18
2015-04-23,9.55,9.55,8.69,8.6
2015-04-24,9.98,9.46,9.5,9.25
2015-04-27,10.35,10.17,9.57,9.31
2015-04-28,10.88,10.38,9.91,9.8
2015-04-29,10.35,10.0,10.35,9.88
2015-04-30,10.0,9.5,9.92,9.41
2015-05-04,9.77,9.56,9.42,9.05
2015-05-05,9.52,8.8,9.52,8.7
2015-05-06,9.15,8.75,8.9,8.52
2015-05-07,8.73,8.33,8.56,8.24
2015-05-08,8.58,8.47,8.5,8.1
2015-05-11,8.85,8.83,8.57,8.41
2015-05-12,8.99,8.95,8.85,8.71
2015-05-13,8.91,8.64,8.89,8.56
2015-05-14,9.5,9.5,8.55,8.33
2015-05-15,10.45,10.43,10.19,9.88
2015-05-18,10.0,9.53,9.9,9.5
2015-05-19,9.84,9.74,9.4,9.32
2015-05-20,9.85,9.56,9.74,9.45
2015-05-21,9.59,9.49,9.53,9.31
2015-05-22,9.85,9.74,9.52,9.42
2015-05-25,10.25,10.11,9.71,9.62
2015-05-26,10.27,10.14,10.11,9.83
2015-05-27,10.27,10.09,10.14,9.85
2015-05-28,10.14,9.08,10.1,9.08
2015-05-29,9.27,8.85,8.99,8.28
2015-06-01,9.3,9.29,8.85,8.77
2015-06-02,9.48,9.33,9.28,9.1
2015-06-03,9.74,9.62,9.31,9.22
2015-06-04,9.62,9.48,9.62,8.7
2015-06-05,10.15,9.87,9.54,9.48
2015-06-08,10.78,10.39,9.98,9.88
2015-06-09,10.8,10.57,10.29,9.91
2015-06-10,10.65,10.2,10.3,10.15
2015-06-11,10.65,10.43,10.1,10.02
2015-06-12,10.58,10.35,10.48,10.11
2015-06-15,10.47,10.04,10.4,10.0
2015-06-16,9.96,9.24,9.9,9.1
2015-06-17,9.77,9.69,9.24,9.18
2015-06-18,9.95,9.33,9.6,9.3
2015-06-19,9.29,8.5,9.08,8.4
2015-06-23,8.7,8.69,8.5,7.73
2015-06-24,9.18,9.15,8.79,8.69
2015-06-25,9.47,8.83,9.13,8.61
2015-06-26,9.49,8.67,8.61,8.2
2015-06-29,9.38,9.14,8.88,8.42
2015-06-30,9.36,9.33,9.15,8.23
2015-07-01,9.21,8.48,8.9,8.42
2015-07-02,8.43,7.63,8.3,7.63
2015-07-03,7.46,6.87,7.12,6.87
2015-07-06,7.38,6.37,7.37,6.2
2015-07-07,6.26,5.89,6.2,5.73
2015-07-08,5.47,5.3,5.3,5.3
2015-07-09,5.83,5.83,5.3,4.78
2015-07-10,6.41,6.41,6.01,5.83
2015-07-13,7.05,7.04,6.5,6.46
2015-07-14,7.07,6.52,6.8,6.46
2015-07-15,6.4,5.87,6.36,5.87
2015-07-16,6.25,6.04,5.87,5.51
2015-07-17,6.5,6.49,6.06,6.04
2015-07-20,6.8,6.64,6.51,6.34
2015-07-21,6.79,6.63,6.55,6.43
2015-07-22,6.84,6.75,6.55,6.4
2015-07-23,7.2,7.05,6.73,6.65
2015-07-24,7.55,7.03,6.98,6.88
2015-07-27,6.95,6.33,6.78,6.33
2015-07-28,6.31,6.01,5.9,5.7
2015-07-29,6.43,6.38,6.11,5.96
2015-07-30,6.6,6.09,6.34,6.01
2015-07-31,6.27,6.25,5.97,5.97
2015-08-03,6.43,6.39,6.13,5.9
2015-08-04,6.68,6.65,6.45,6.4
2015-08-05,6.68,6.47,6.6,6.4
2015-08-06,6.5,6.35,6.3,6.25
2015-08-07,6.64,6.55,6.36,6.36
2015-08-10,7.21,7.21,6.85,6.72
2015-08-11,7.48,7.2,7.2,7.1
2015-08-12,7.28,7.16,7.08,7.0
2015-08-13,7.49,7.42,7.1,7.07
2015-08-14,7.6,7.31,7.48,7.26
2015-08-17,7.64,7.55,7.27,7.22
2015-08-18,7.55,6.8,7.5,6.8
2015-08-19,6.98,6.85,6.5,6.18
2015-08-20,7.02,6.64,6.71,6.6
2015-08-21,6.6,6.19,6.5,6.1
2015-08-24,5.95,5.57,5.9,5.57
2015-08-25,5.23,5.01,5.02,5.01
2015-08-26,5.19,4.66,5.01,4.56
2015-08-27,5.0,4.99,4.8,4.53
2015-08-28,5.45,5.43,5.11,5.01
2015-08-31,5.4,5.36,5.3,5.1
2015-09-01,5.63,5.55,5.21,5.01
2015-09-02,5.55,5.05,5.29,5.02
2015-09-07,5.35,5.1,5.18,5.06
2015-09-08,5.32,5.28,5.02,4.99
2015-09-09,5.48,5.47,5.33,5.27
2015-09-10,5.48,5.24,5.36,5.17
2015-09-11,5.34,5.24,5.22,5.13
2015-09-14,5.4,5.07,5.3,4.72
2015-09-15,4.99,4.63,4.9,4.6
2015-09-16,5.09,5.04,4.64,4.64
2015-09-17,5.24,4.96,5.03,4.95
2015-09-18,5.08,5.03,5.0,4.93
2015-09-21,5.13,5.1,5.02,4.96
2015-09-22,5.28,5.17,5.11,5.07
2015-09-23,5.05,4.95,5.0,4.89
2015-09-24,5.05,5.01,4.95,4.95
2015-09-25,5.05,4.82,4.99,4.76
2015-09-28,4.88,4.85,4.83,4.76
2015-09-29,4.78,4.68,4.77,4.63
2015-09-30,4.74,4.67,4.73,4.66
2015-10-08,4.93,4.85,4.9,4.83
2015-10-09,5.04,5.0,4.85,4.82
